,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,26,MV,1604802743,70,-0.6,73.08,84.16,7.34
1,lodja,76,CD,1604803173,96,-3.48,23.43,66.6,0.67
2,bluff,29,NZ,1604803173,55,-46.6,168.33,55,10
3,rikitea,100,PF,1604803174,75,-23.12,-134.97,71.65,19.53
4,lavumisa,0,SZ,1604803175,83,-27.31,31.89,73.92,3.29
6,ust-nera,21,RU,1604803176,82,64.57,143.2,-6.43,5.37
8,kapaa,90,US,1604802656,83,22.08,-159.32,80.6,17.22
10,ushuaia,20,AR,1604803179,44,-54.8,-68.3,57.2,17.22
11,chuy,0,UY,1604802689,94,-33.7,-53.46,58.98,5.26
12,souillac,75,MU,1604802895,88,-20.52,57.52,71.6,9.17
13,rio grande,0,BR,1604802977,91,-32.03,-52.1,62.85,10.27
14,punta arenas,20,CL,1604802356,71,-53.15,-70.92,51.8,24.16
15,luanda,75,AO,1604803183,83,-8.84,13.23,78.8,3.36
16,cherskiy,99,RU,1604802629,94,68.75,161.3,3.34,6.17
17,alofi,4,NU,1604803185,69,-19.06,-169.92,80.6,12.75
18,yumen,0,CN,1604803185,32,40.28,97.2,50.02,4.83
20,brasilia,40,BR,1604802961,73,-15.78,-47.93,75.2,3.36
21,cape town,75,ZA,1604802321,93,-33.93,18.42,61,16.11
22,vaini,20,TO,1604802614,74,-21.2,-175.2,80.6,9.17
23,sao filipe,76,CV,1604802736,77,14.9,-24.5,78.85,6.91
24,lorengau,73,PG,1604802644,60,-2.02,147.27,85.41,5.75
25,te anau,0,NZ,1604802596,39,-45.42,167.72,55.89,7.11
26,shchelkun,40,RU,1604803191,93,56.3,60.95,35.6,8.95
27,lagoa,7,PT,1604802736,73,39.05,-27.98,61.11,15.3
28,kodiak,90,US,1604803192,87,57.79,-152.41,46.4,14.99
29,hasaki,75,JP,1604802898,73,35.73,140.83,69.8,9.17
30,mataura,0,NZ,1604803194,55,-46.19,168.86,55,10
31,albany,45,US,1604803195,60,42.6,-73.97,54,3.27
32,saldanha,50,ZA,1604802793,82,-33.01,17.94,59,10.29
33,hobart,20,AU,1604803167,44,-42.88,147.33,66.99,9.17
34,the pas,90,CA,1604803196,92,53.83,-101.25,21.2,6.93
35,jalu,0,LY,1604803197,88,29.03,21.55,59.45,8.63
36,saint george,100,US,1604802675,81,37.1,-113.58,44.01,14.99
37,wuda,0,CN,1604803198,46,39.5,106.71,47.37,1.5
38,atuona,48,PF,1604802641,78,-9.8,-139.03,77.45,13.69
39,vila velha,75,BR,1604802801,94,-20.33,-40.29,73.4,2.24
40,dikson,100,RU,1604802646,89,73.51,80.55,-4.18,12.64
41,hilo,90,US,1604803200,88,19.73,-155.09,75.2,6.93
42,college,90,US,1604803201,85,64.86,-147.8,23,4.7
43,dingle,5,PH,1604802713,72,11,122.67,82.8,4.59
44,beibei,30,CN,1604803202,82,29.83,106.43,64.99,2.24
45,foshan,0,CN,1604803203,26,23.03,113.13,79,15.66
46,san quintin,0,MX,1604803204,66,30.48,-115.95,61.3,18.41
47,severo-kurilsk,57,RU,1604803204,77,50.68,156.12,36.93,5.1
48,thohoyandou,6,ZA,1604803205,44,-22.95,30.48,76.21,1.79
49,saint-philippe,20,RE,1604802724,64,-21.36,55.77,71.6,6.93
51,mar del plata,90,AR,1604802593,100,-38,-57.56,62.01,5.82
52,marsh harbour,100,BS,1604803207,77,26.54,-77.06,79.11,30.91
53,fortuna,40,US,1604803208,87,40.6,-124.16,51.01,8.05
54,grindavik,40,IS,1604802866,65,63.84,-22.43,39.2,10.29
55,yar-sale,89,RU,1604803210,98,66.83,70.83,24.6,3.04
56,bredasdorp,33,ZA,1604802643,82,-34.53,20.04,57.2,11.41
58,vila franca do campo,20,PT,1604802669,71,37.72,-25.43,57.2,4.7
59,khatanga,0,RU,1604802415,87,71.97,102.5,-3.32,13.15
60,husavik,75,IS,1604802677,45,66.04,-17.34,42.8,14.99
61,hamilton,1,US,1604803214,87,39.18,-84.53,57,2.84
